Name,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
TRIBAL GROUP PLC,Software &amp; Computer Services,Software,149.59,76.3,-1.24,nan,1.23,2017
TRICORN GROUP PLC,Industrial Engineering,Industrial Machinery,5.91,17.5,16.76,47.59,nan,2018
TRIFAST PLC,Industrial Engineering,Industrial Machinery,229.01,184.0,59.23,6.74,1.49,2018
TRINITY EXPLORATION &amp; PRODUCTION PLC,Oil &amp; Gas Producers,Exploration &amp; Production,46.09,12.5,-11.16,nan,nan,2017
TRIPLE POINT SOCIAL HOUSING REIT PLC,Real Estate Investment Trusts,Residential REITs,349.95,98.2,nan,nan,nan,nan
TRISTEL PLC,Health Care Equipment &amp; Services,Health Care Providers,109.65,250.0,26.55,nan,1.43,2018
TRITAX BIG BOX REIT PLC,Real Estate Investment Trusts,Specialty REITs,1935.67,132.3,141.5,nan,4.3,2017
TROY INCOME &amp; GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,206.48,72.7,78.64,nan,3.3,2017
TRUFIN PLC,Financial Services,Specialty Finance,193.76,199.0,nan,nan,nan,nan
TT ELECTRONICS PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,319.83,192.0,54.34,23.94,3.44,2016
TUI AG,Travel &amp; Leisure,Travel &amp; Tourism,6616.83,1124.0,-75.83,-19.83,4.54,2017
TULLOW OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,2495.44,182.55,43.53,131.21,22.99,2017
TUNGSTEN CORPORATION PLC,Financial Services,Specialty Finance,34.42,27.05,-1.54,nan,nan,2018
TWENTYFOUR INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,466.75,112.0,127.54,nan,6.05,2018
TWENTYFOUR SELECT MONTHLY INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,168.7,91.0,89.97,nan,2.99,2017
TWO SHIELDS INVESTMENTS PLC,Financial Services,Specialty Finance,1.35,0.09,0.39,nan,nan,2018
TYMAN PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,461.15,230.0,-35.1,44.68,3.11,2017
U AND I GROUP PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,262.15,207.5,300.74,34.42,9.17,2018
UBISENSE GROUP PLC,Software &amp; Computer Services,Software,49.33,67.5,4.66,-56.57,-41.48,2017
UDG HEALTHCARE PUBLIC LIMITED COMPANY,Health Care Equipment &amp; Services,Medical Supplies,1484.81,599.5,33.7,6.44,1.17,2017
UK COMMERCIAL PROPERTY REIT LIMITED,Real Estate Investment Trusts,Diversified REITs,1081.11,82.7,92.81,nan,4.15,2017
UK OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,79.32,1.4,0.65,nan,nan,2017
ULS TECHNOLOGY PLC,Media,Media Agencies,47.78,73.7,-12.94,19.93,1.46,2018
ULTRA ELECTRONICS HOLDINGS PLC,Aerospace &amp; Defense,Defense,929.11,1278.0,-24.76,14.54,3.68,2017
UNILEVER PLC,Personal Goods,Personal Products,48009.08,4121.5,-482.46,152.45,2.62,2017
UNION JACK OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,9.51,0.12,0.1,nan,nan,2017
UNITE GROUP PLC,Real Estate Investment Trusts,Hotel &amp; Lodging REITs,2123.58,806.0,709.05,26.7,2.87,2017
UNITED CARPETS GROUP PLC,General Retailers,Home Improvement Retailers,4.48,5.25,6.3,-50.03,nan,2018
UNIVERSE GROUP PLC,Support Services,Business Support Services,7.9,3.4,2.5,-8.01,nan,2017
UNIVISION ENGINEERING LIMITED,Electronic &amp; Electrical Equipment,Electronic Equipment,7.67,2.0,1.53,nan,2.22,2018
UP GLOBAL SOURCING HOLDINGS PLC,Household Goods &amp; Home Construction,Durable Household Products,32.33,38.25,10.52,145.87,6.97,2018
URALS ENERGY PUBLIC COMPANY LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,3.03,28.5,472.7,13.02,nan,2017
URBAN EXPOSURE PLC,Financial Services,Asset Managers,118.87,76.0,nan,nan,nan,nan
URBAN LOGISTICS REIT PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,99.45,115.5,nan,nan,nan,2018
URU METALS LIMITED,Industrial Metals &amp; Mining,Nonferrous Metals,1.29,170.0,0.22,nan,nan,2018
UNITED UTILITIES GROUP PLC,"Gas, Water &amp; Multiutilities",Water,5020.06,750.4,403.76,250.85,5.55,2018
UTILICO EMERGING MARKETS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,471.88,205.43,251.72,nan,3.08,2017
UTILITYWISE PLC,Support Services,Business Support Services,6.52,8.38,nan,-121.2,4.79,2017
VALIRX PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,4.94,0.79,0.07,-9.8,nan,2017
VALUE AND INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,116.15,256.5,330.45,nan,4.35,2018
VAN ELLE HOLDINGS PLC,Construction &amp; Materials,Heavy Construction,64.0,80.0,48.78,14.28,3.8,2018
VAST RESOURCES PLC,Mining,Gold Mining,16.8,0.27,nan,-647.31,nan,2018
VECTURA GROUP PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,465.77,80.0,12.04,nan,nan,2017
VELA TECHNOLOGIES PLC,Media,Media Agencies,1.46,0.17,0.32,2.92,nan,2018
VELOCITY COMPOSITES PLC,Aerospace &amp; Defense,Aerospace,8.59,24.0,609090.91,-50.15,nan,2017
VELOCYS PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,19.88,4.75,9.49,-10.41,nan,2017
VELTYCO GROUP PLC,Travel &amp; Leisure,Gambling,7.68,10.2,14.23,nan,nan,2017
VENN LIFE SCIENCES HOLDINGS PLC,Health Care Equipment &amp; Services,Health Care Providers,1.21,1.7,6.64,-13.14,-5.46,2017
VENTURE LIFE GROUP PLC,Health Care Equipment &amp; Services,Medical Supplies,36.83,44.0,-5.4,70.6,0.09,2017
VERDITEK PLC,Alternative Energy,Renewable Energy Equipment,10.31,5.17,nan,-43.25,nan,2017
VERONA PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,92.16,91.0,73.77,nan,nan,2017
VERSARIEN PLC,Chemicals,Specialty Chemicals,207.01,131.0,3.74,-16.79,nan,2018
VERTU MOTORS PLC,General Retailers,Specialty Retailers,132.75,36.0,43.97,-7.3,3.36,2018
VESUVIUS PLC,General Industrials,Diversified Industrials,1373.7,480.0,105.34,26.66,3.05,2017
VIANET GROUP PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,29.13,103.0,8.88,-5.07,4.33,2018
VICTORIA PLC,Household Goods &amp; Home Construction,Furnishings,589.37,470.0,nan,96.05,nan,2018
VICTORIA OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,34.41,23.8,30.08,11.89,nan,2017
VICTREX PLC,Chemicals,Specialty Chemicals,1971.39,2172.0,521.52,nan,5.14,2017
VIETNAM ENTERPRISE INVESTMENTS LIMITED,Equity Investment Instruments,Equity Investment Instruments,1003.48,448.0,nan,nan,nan,2016
VIETNAM HOLDING LIMITED,Equity Investment Instruments,Equity Investment Instruments,98.1,2.28,239.13,nan,nan,2018
VINACAPITAL VIETNAM OPPORTUNITY FUND LD,Equity Investment Instruments,Equity Investment Instruments,621.12,333.0,420.07,nan,3.51,2018
VIVO ENERGY PLC,General Retailers,Specialty Retailers,1502.25,126.12,11771.76,91.26,20.23,2017
VODAFONE GROUP PLC,Mobile Telecommunications,Mobile Telecommunications,40854.24,156.06,81.77,57.04,6.81,2018
VOLEX PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,129.39,87.3,39.53,-20.66,nan,2018
VOLUTION GROUP PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,284.47,145.0,-25.94,nan,2.19,2018
VOLVERE PLC,Financial Services,Specialty Finance,32.43,1025.0,648.74,-39.18,nan,2017
VP PLC,Support Services,Business Support Services,395.12,964.0,159.19,116.03,3.06,2018
VPC SPECIALTY LENDING INVESTMENTS PLC,Financial Services,Consumer Finance,276.57,77.0,nan,nan,nan,2016
VR EDUCATION HOLDINGS PLC,Software &amp; Computer Services,Software,25.11,12.75,nan,nan,nan,nan
W RESOURCES PLC,Mining,General Mining,30.95,0.53,0.05,-0.67,nan,2017
W.H. IRELAND GROUP PLC,Financial Services,Investment Services,21.51,62.5,30.73,-54.34,nan,2018
WALKER CRIPS GROUP PLC,Financial Services,Investment Services,14.26,33.5,23.24,nan,4.92,2018
WALKER GREENBANK PLC,Household Goods &amp; Home Construction,Furnishings,64.95,87.5,42.08,8.54,3.43,2018
WANDISCO PLC,Software &amp; Computer Services,Software,204.96,536.0,19.84,-132.26,nan,2017
WAREHOUSE REIT PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,157.04,93.0,nan,71.11,nan,2018
WARPAINT LONDON PLC,Personal Goods,Personal Products,74.83,96.0,28.39,-4.88,1.65,2017
WATCHSTONE GROUP PLC,Software &amp; Computer Services,Computer Services,44.54,97.25,93.09,-87.22,nan,2017
WATER INTELLIGENCE PLC,Support Services,Business Support Services,35.5,238.0,1.57,21.16,nan,2017
WATKIN JONES PLC,Household Goods &amp; Home Construction,Home Construction,524.58,208.5,nan,-32.48,9.0,2017
WEBIS HOLDINGS PLC,Travel &amp; Leisure,Gambling,7.28,1.7,0.37,nan,nan,2017
WEIR GROUP PLC,Industrial Engineering,Industrial Machinery,3367.43,1244.5,-35.73,57.37,0.91,2017
WEISS KOREA OPPORTUNITY FUND LTD.,Equity Investment Instruments,Equity Investment Instruments,124.02,145.5,150.27,nan,nan,2017
WESTMINSTER GROUP PLC,Support Services,Business Support Services,11.7,9.75,nan,nan,nan,2017
WETHERSPOON ( J.D.) PLC,Travel &amp; Leisure,Restaurants &amp; Bars,1174.23,1107.0,248.13,253.42,0.98,2018
WEY EDUCATION PLC,Support Services,Business Support Services,10.62,8.38,-1.36,nan,-96.4,2017
WH SMITH PLC,General Retailers,Specialty Retailers,1862.39,1754.0,108.11,-2.14,2.61,2017
WHITBREAD PLC,Travel &amp; Leisure,Restaurants &amp; Bars,8408.75,4585.0,1362.81,29.72,2.64,2018
WILLIAM HILL PLC,Travel &amp; Leisure,Gambling,1333.95,158.1,-59.92,nan,3.55,2017
WINCANTON PLC,Industrial Transportation,Transportation Services,302.64,223.5,nan,nan,4.52,2018
WINDAR PHOTONICS PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,37.83,85.0,1.42,-7.46,nan,2017
WISHBONE GOLD PLC,Mining,Gold Mining,3.75,0.14,0.05,nan,nan,2017
WITAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1730.41,965.0,1109.85,nan,1.95,2017
WITAN PACIFIC INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,182.94,292.0,nan,nan,1.6,2018
WIZZ AIR HOLDINGS PLC,Travel &amp; Leisure,Airlines,2038.35,2777.0,1505.48,-76.29,nan,2018
WOOD GROUP (JOHN) PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,3449.95,515.2,-220.24,33.58,3.91,2017
WOODFORD PATIENT CAPITAL TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,678.97,82.5,97.37,nan,-3.9,2017
WORKSPACE GROUP PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,1431.31,819.0,1044.83,nan,2.76,2018
WORLDWIDE HEALTHCARE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1239.94,2405.0,nan,nan,0.73,2018
WPP PLC,Media,Media Agencies,10682.58,842.2,-431.37,47.22,4.42,2017
WYG PLC,Support Services,Business Support Services,31.53,43.0,4.8,24.45,5.14,2018
WYNNSTAY GROUP PLC,Food Producers,Farming &amp; Fishing,80.57,407.5,361.21,-5.28,2.55,2017
X5 RETAIL GROUP N.V,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,5283.9,26.32,nan,105.21,nan,2017
XAAR PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,113.49,154.0,139.53,nan,2.74,2017
XEROS TECHNOLOGY GROUP PLC,Industrial Engineering,Industrial Machinery,52.95,18.45,35.42,nan,nan,2017
XLMEDIA PLC,Media,Media Agencies,163.8,73.6,12.83,-28.72,2.96,2017
XP POWER LIMITED,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,404.89,2120.0,270.76,nan,2.27,2017
XPEDIATOR PLC,Industrial Transportation,Transportation Services,57.5,43.0,158.99,-10.35,nan,2017
XPS PENSIONS GROUP PLC,Financial Services,Investment Services,333.32,163.5,-30.75,29.75,961.83,2018
XTRACT RESOURCES PLC,Mining,Gold Mining,2.37,0.65,0.37,nan,nan,2017
YELLOW CAKE PLC,Industrial Metals &amp; Mining,Nonferrous Metals,174.44,220.0,nan,nan,nan,nan
YOLO LEISURE AND TECHNOLOGY PLC,Financial Services,Specialty Finance,2.1,4.75,1.02,nan,nan,2017
YOUGOV PLC,Media,Media Agencies,416.75,386.0,25.32,nan,0.62,2018
YOUNG &amp; CO'S BREWERY PLC,Travel &amp; Leisure,Restaurants &amp; Bars,406.82,1335.0,1083.38,25.58,1.22,2018
YOUNG &amp; CO'S BREWERY PLC (AIM),Travel &amp; Leisure,Restaurants &amp; Bars,209.8,1095.0,1083.38,25.58,1.49,2018
YOURGENE HEALTH PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,36.54,8.75,nan,-456.97,nan,2018
YU GROUP PLC,"Gas, Water &amp; Multiutilities",Multiutilities,12.12,80.0,nan,nan,nan,2017
ZAMBEEF PRODUCTS PLC,Food Producers,Food Products,33.36,11.1,nan,nan,0.0,2018
ZANAGA IRON ORE COMPANY LIMITED,Industrial Metals &amp; Mining,Iron &amp; Steel,34.34,11.62,11.57,nan,nan,2017
ZIBAO METALS RECYCLING HOLDINGS PLC,Industrial Metals &amp; Mining,Nonferrous Metals,0.43,0.35,41.88,nan,nan,2018
ZINC MEDIA GROUP PLC,Media,Media Agencies,5.32,0.38,-0.13,1.1,nan,2018
ZOLTAV RESOURCES INC,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,22.71,16.0,nan,24.23,nan,2017
ZOO DIGITAL GROUP PLC,Software &amp; Computer Services,Software,77.77,102.5,-4.12,71.6,nan,2018
ZOTEFOAMS PLC,Chemicals,Specialty Chemicals,341.01,688.0,118.0,30.39,1.3,2017
ZYTRONIC PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,49.34,310.0,156.71,nan,3.14,2017
